Code,Company,Link,"Market Cap","Last trade",Change,%Change,Sector
ASX:FDV,"Frontier Digital Ventures (ASX:FDV)",https://www.listcorp.com/asx/fdv/frontier-digital-ventures,"	328080000",0.88,0.01,1.73,"Communication Services"
ASX:GAL,"Galileo Mining Limited (ASX:GAL)",https://www.listcorp.com/asx/gal/galileo-mining-limited,"	325431000",1.785,-0.03,-1.92,Materials
ASX:VGL,"Vista Group International Limited (ASX:VGL)",https://www.listcorp.com/asx/vgl/vista-group-international-limited,"	324137000",1.39,0.00,0,"Information Technology"
ASX:CAI,"Calidus Resources Limited (ASX:CAI)",https://www.listcorp.com/asx/cai/calidus-resources-limited,"	322243000",0.815,0.02,1.88,Materials
ASX:BST,"Best & Less Group Holdings (ASX:BST)",https://www.listcorp.com/asx/bst/best-and-less-group-holdings,"	319686000",2.54,-0.01,-0.39,"Consumer Discretionary"
ASX:COG,"Consolidated Operations Group (ASX:COG)",https://www.listcorp.com/asx/cog/consolidated-operations-group,"	315691000",1.7,0.02,1.19,Financials
ASX:RDY,"ReadyTech Holdings Limited (ASX:RDY)",https://www.listcorp.com/asx/rdy/readytech-holdings-limited,"	315585000",2.89,-0.06,-2.03,"Information Technology"
ASX:PPS,"Praemium Limited (ASX:PPS)",https://www.listcorp.com/asx/pps/praemium-limited,"	314842000",0.625,0.01,0.81,"Information Technology"
ASX:NWF,"Newfield Resources (ASX:NWF)",https://www.listcorp.com/asx/nwf/newfield-resources,"	313157000",0.42,0.00,0,Materials
ASX:VEQ,"Vanguard FTSE Europe Shares ETF (ASX:VEQ)",https://www.listcorp.com/asx/veq/vanguard-ftse-europe-shares-etf,"	312810000",59.13,0.58,0.99,Financials
ASX:BMN,"Bannerman Energy Ltd (ASX:BMN)",https://www.listcorp.com/asx/bmn/bannerman-energy-ltd,"	312413000",0.2175,0.01,3.57,Energy
ASX:KED,"Keypath Education International Inc (ASX:KED)",https://www.listcorp.com/asx/ked/keypath-education-international-inc,"	312335000",1.53,0.03,2,"Consumer Discretionary"
ASX:PAI,"Platinum Asia Investments (ASX:PAI)",https://www.listcorp.com/asx/pai/platinum-asia-investments,"	309164000",0.845,0.01,0.6,Financials
ASX:UNI,"Universal Store Holdings Limited (ASX:UNI)",https://www.listcorp.com/asx/uni/universal-store,"	308886000",4.22,0.00,0,"Consumer Discretionary"
ASX:MAU,"Magnetic Resources NL (ASX:MAU)",https://www.listcorp.com/asx/mau/magnetic-resources,"	308471000",1.36,-0.01,-1.09,Materials
ASX:ADN,"Andromeda Metals Limited (ASX:ADN)",https://www.listcorp.com/asx/adn/andromeda-metals-limited,"	307666000",0.1,0.00,1.01,Materials
ASX:GNG,"GR Engineering Services (ASX:GNG)",https://www.listcorp.com/asx/gng/gr-engineering,"	307147000",1.935,0.03,1.57,Materials
